萹	bmcc
鲿	ihas
摽	bnfx
嘚	dekc
腯	tuoo
馎	uivr
饦	uito
𪨊	ssur
醨	liyd
巉	ijed
玗	yuwy
瞋	ifov
洺	mkdk
啊	aakk
按	anfn
阿	aaek
锕	aajk
呵	hekk
嗄	uakw
吖	yaky
昂	ahoe
肮	ahoj
盎	ahym
爱	aipy
欸	aisr
癌	aibe
皑	aibj
艾	aicx
蔼	aicv
隘	aiem
挨	aifu
捱	aift
锿	aijy
唉	aiku
嗌	yikm
哎	aikx
嗳	aiky
嫒	ainy
娭	ainu
暧	aioy
埃	aitu
矮	aiun
碍	aiuc
砹	aiux
哀	aiwy
瑷	aiwy
霭	aiyv
吗	makm
安	anbn
𩽾	anan
案	anbm
荌	ancn
菴	ancd
鹌	andn
岸	aneg
揞	anfo
庵	angd
鞍	angn
黯	anh
铵	anjn
唵	ankd
咹	ankn
啱	anku
桉	anmn
暗	anoo
胺	anon
氨	anq
犴	hjqg
俺	anrd
埯	antd
谙	anyo
奥	aopd
翱	aobx
澳	aodd
熬	aofh
鳌	aofa
聱	aofe
嶅	aofe
螯	aofi
鏊	aofj
拗	nqfl
骜	aofm
獒	aofq
敖	aofw
鏖	aogj
廒	aogw
嗷	aokw
凹	wala
媪	aonm
袄	aopy
鿫	aoqd
傲	aorw
坳	aotl
垇	aota
懊	aoxd
岙	aoye
遨	aozw
不	buad
吧	bakb
把	bafb
鲅	baad
鲌	baab
爸	babb
疤	babb
芭	bacb
茇	bacd
菝	bacd
灞	bado
岜	baeb
拔	bafd
扒	pafb
捌	bafd
靶	bagb
魃	bagd
钯	bajb
叭	bakb
耙	palb
粑	bamb
八	bapn
罢	bass
巴	bavv
坝	batr
㞎	baub
犮	baud
笆	bavb
霸	bayo
跋	bazd
滨	bbdb
鬓	bbab
宾	bbb
邠	bbbe
濒	bbdr
殡	bbdb
豳	bbuu
摈	bbfb
髌	bbgb
镔	bbjb
彬	bbmp
槟	bkmb
膑	bbob
傧	bbrb
缤	bbsb
斌	bbwv
报	bcfy
宝	bcby
鲍	bcas
包	bcbs
鸨	bcbn
刨	pcbd
薄	bocc
葆	bccm
苞	bccs
瀑	pudu
抱	bcfs
爆	bchu
暴	bcou
胞	bcos
曝	puou
褓	bcpm
勹	bcpv
保	bcrm
煲	bcrh
堡	purt
饱	bcus
豹	bcvu
龅	bcvs
剥	bovd
褒	bcwy
雹	bcy
趵	bczu
孢	bczs
白	bdpo
百	bdab
摆	bdfs
捭	bdfu
稗	bdhu
败	bdkw
呗	bwkr
柏	bomb
佰	bdrb
伯	borb
拜	bduf
掰	bduu
本	bfaa
笨	bfvb
坌	bfbt
苯	bfcb
奔	bfd
夯	hhdl
夲	bfdu
锛	bfjc
栟	bfmk
犇	bfnn
畚	bfst
贲	biur
蹦	bgzo
甭	bgby
崩	bgeo
揼	bgfu
蚌	bhif
嘣	bgko
祊	bgpf
绷	bgso
泵	bgu
甏	bguw
迸	bgzk
帮	bhfj
浜	bhdb
邦	bhfe
髈	phgf
镑	bhjf
𠳐	bhke
棒	bhml
梆	bhme
榜	bhmf
膀	phof
傍	bhrf
绑	bhse
磅	phuf
玤	bhwf
谤	bhyf
比	bibb
逼	bizt
毙	bibb
毖	bibb
皕	bibb
痹	bibl
毕	bibu
蔽	bicw
蓖	bicb
芘	bicb
苾	bicb
荜	bicu
萆	bicu
薜	bicu
荸	bicz
必	bidd
泌	midb
沘	bidb
弊	bidc
濞	bidl
滗	bidm
敝	bidw
陛	biet
庇	bigb
弼	bigg
髀	bigu
秕	bihb
秘	mihb
馝	bihb
彼	biiy
铋	bijb
鄙	bike
吡	bikb
咇	bikb
赑	bikr
哔	biku
闭	bimc
婢	binu
妣	binb
睥	piou
肶	biob
币	bipj
裨	pipu
匕	bipv
狴	biqt
俾	biru
畀	bitl
壁	biut
璧	biuy
屄	biub
嬖	biun
臂	bwuo
辟	piuu
襞	biuy
笔	bivm
篦	bivb
舭	bivb
箅	bivl
筚	bivu
碧	biwu
